OBJECTID,admin4_name,admin3_name,admin2_name,id,GENALPHACY,GENALPHACY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,54736 (Durand),Buffalo County,Wisconsin,86275344fffffff,10,8.06,8.06,73828750.0,32001.98177138998,1758492323813,Synapse54,1758492323813,Synapse54
2,54455 (Mosinee),Marathon County,Wisconsin,862751ad7ffffff,63,10.59,10.59,75226250.0,32300.101946613766,1758492323813,Synapse54,1758492323813,Synapse54
3,54971 (Ripon),Green Lake County,Wisconsin,86275c2a7ffffff,18,6.32,6.32,71923750.00390625,31584.501121378875,1758492323813,Synapse54,1758492323813,Synapse54
4,54455 (Mosinee),Marathon County,Wisconsin,862751adfffffff,85,9.84,9.84,75358749.99609375,32329.673705056393,1758492323813,Synapse54,1758492323813,Synapse54
5,53575 (Oregon),Dane County,Wisconsin,8627580efffffff,204,5.96,5.96,69100000.00390625,30961.45294558024,1758492323813,Synapse54,1758492323813,Synapse54
6,54455 (Mosinee),Marathon County,Wisconsin,862751ae7ffffff,16,6.06,6.06,75358749.99609375,32329.673705056393,1758492323813,Synapse54,1758492323813,Synapse54
7,54446 (Loyal),Clark County,Wisconsin,86275146fffffff,43,18.86,18.86,75884999.9921875,32439.320422262143,1758492323813,Synapse54,1758492323813,Synapse54
8,53818 (Platteville),Lafayette County,Wisconsin,86275aaf7ffffff,81,15.08,15.08,68037500.00390625,30721.35718802003,1758492323813,Synapse54,1758492323813,Synapse54
9,54761 (Plum City),Pierce County,Wisconsin,862753457ffffff,19,8.96,8.96,73939999.99609375,32025.132445201987,1758492323813,Synapse54,1758492323813,Synapse54
10,55089 (Welch),Dakota County,Minnesota,86262c82fffffff,91,9.14,9.14,74100000.0,32057.410923822383,1758492323813,Synapse54,1758492323813,Synapse54
11,53533 (Dodgeville),Iowa County,Wisconsin,86275ab07ffffff,23,7.49,7.49,68962500.00390625,30930.65497429147,1758492323813,Synapse54,1758492323813,Synapse54
12,53719 (Madison),Dane County,Wisconsin,8627580f7ffffff,5079,10.51,10.51,69400000.0,31028.26526882925,1758492323813,Synapse54,1758492323813,Synapse54
13,54014 (Hager City),Pierce County,Wisconsin,86262c867ffffff,44,9.91,9.91,74107500.0,32061.344355937115,1758492323813,Synapse54,1758492323813,Synapse54
14,53946 (Markesan),Green Lake County,Wisconsin,86275c2afffffff,54,10.25,10.25,71898750.00390625,31579.86328644578,1758492323813,Synapse54,1758492323813,Synapse54
15,54757 (New Auburn),Chippewa County,Wisconsin,86275064fffffff,10,9.62,9.62,76308749.99609375,32529.43878406359,1758492323813,Synapse54,1758492323813,Synapse54
16,54498 (Withee),Clark County,Wisconsin,862751477ffffff,81,21.26,21.26,75291250.00390625,32313.94009384934,1758492323813,Synapse54,1758492323813,Synapse54
17,54757 (New Auburn),Chippewa County,Wisconsin,86275065fffffff,35,10.0,10.0,76627500.0078125,32600.888954781985,1758492323813,Synapse54,1758492323813,Synapse54
18,54759 (Pepin),Pepin County,Wisconsin,86275345fffffff,11,7.91,7.91,73924999.9921875,32022.44702366481,1758492323813,Synapse54,1758492323813,Synapse54
19,54455 (Mosinee),Marathon County,Wisconsin,862751af7ffffff,116,10.35,10.35,75782499.99609375,32420.079018375076,1758492323813,Synapse54,1758492323813,Synapse54
20,53565 (Mineral Point),Iowa County,Wisconsin,86275ab0fffffff,19,9.41,9.41,68380000.0078125,30799.43000790409,1758492323813,Synapse54,1758492323813,Synapse54
21,54403 (Wausau),Marathon County,Wisconsin,862751b07ffffff,48,11.54,11.54,76362500.0,32542.88954401976,1758492323813,Synapse54,1758492323813,Synapse54
22,53532 (Deforest),Dane County,Wisconsin,862758107ffffff,849,11.43,11.43,70135000.0,31193.517168387203,1758492323813,Synapse54,1758492323813,Synapse54
23,54014 (Hager City),Pierce County,Wisconsin,86262c86fffffff,45,9.87,9.87,73583750.0,31948.21241793928,1758492323813,Synapse54,1758492323813,Synapse54
24,53946 (Markesan),Green Lake County,Wisconsin,86275c2b7ffffff,17,3.72,3.72,71923750.0,31584.50112137888,1758492323813,Synapse54,1758492323813,Synapse54
25,54768 (Stanley),Chippewa County,Wisconsin,862751487ffffff,200,8.83,8.83,75380000.0,32332.93719396077,1758492323813,Synapse54,1758492323813,Synapse54
26,54757 (New Auburn),Chippewa County,Wisconsin,86275066fffffff,7,7.78,7.78,76866250.0,32649.58786487351,1758492323813,Synapse54,1758492323813,Synapse54
27,53543 (Highland),Iowa County,Wisconsin,86275ab17ffffff,43,7.1,7.1,69065000.0,30952.885928292835,1758492323813,Synapse54,1758492323813,Synapse54
28,54721 (Arkansaw),Pepin County,Wisconsin,862753467ffffff,64,9.98,9.98,74063750.0,32050.606734649733,1758492323813,Synapse54,1758492323813,Synapse54
29,53963 (Waupun),Dodge County,Wisconsin,86275c2c7ffffff,32,11.31,11.31,71387500.0,31469.705368648007,1758492323813,Synapse54,1758492323813,Synapse54
30,54408 (Aniwa),Marathon County,Wisconsin,862751b0fffffff,57,12.36,12.36,76198750.00390625,32504.99318836548,1758492323813,Synapse54,1758492323813,Synapse54
31,54736 (Durand),Buffalo County,Wisconsin,86275346fffffff,16,9.36,9.36,74063750.0,32050.606734649737,1758492323813,Synapse54,1758492323813,Synapse54
32,55089 (Welch),Goodhue County,Minnesota,86262c877ffffff,44,9.76,9.76,74107500.0,32061.344355937115,1758492323813,Synapse54,1758492323813,Synapse54
33,53963 (Waupun),Dodge County,Wisconsin,86275c2cfffffff,29,10.86,10.86,71208750.0,31427.83898198449,1758492323813,Synapse54,1758492323813,Synapse54
34,54721 (Arkansaw),Pepin County,Wisconsin,862753477ffffff,18,9.05,9.05,73925000.0,32022.447023664812,1758492323813,Synapse54,1758492323813,Synapse54
35,53946 (Markesan),Green Lake County,Wisconsin,86275c2d7ffffff,67,5.03,5.03,71356250.0,31461.046314605377,1758492323813,Synapse54,1758492323813,Synapse54
36,54723 (Bay City),Pierce County,Wisconsin,862753487ffffff,34,9.37,9.37,73910000.0,32022.752194363606,1758492323813,Synapse54,1758492323813,Synapse54
37,53933 (Fox Lake),Dodge County,Wisconsin,86275c2dfffffff,63,9.55,9.55,71487500.0,31491.22753671769,1758492323813,Synapse54,1758492323813,Synapse54
38,54723 (Bay City),Pierce County,Wisconsin,86275348fffffff,39,7.49,7.49,73787499.9921875,31994.557578097138,1758492323813,Synapse54,1758492323813,Synapse54
39,53963 (Waupun),Fond du Lac County,Wisconsin,86275c2e7ffffff,80,11.2,11.2,71767499.99609375,31547.485354964883,1758492323813,Synapse54,1758492323813,Synapse54
40,54014 (Hager City),Pierce County,Wisconsin,862753497ffffff,47,9.96,9.96,74121250.00390625,32063.844503889843,1758492323813,Synapse54,1758492323813,Synapse54
41,53963 (Waupun),Dodge County,Wisconsin,86275c2efffffff,925,8.08,8.08,71618750.00390625,31518.014188646797,1758492323813,Synapse54,1758492323813,Synapse54
42,54723 (Bay City),Pierce County,Wisconsin,86275349fffffff,104,7.94,7.94,73886250.00390625,32015.569087885437,1758492323813,Synapse54,1758492323813,Synapse54
43,53963 (Waupun),Fond du Lac County,Wisconsin,86275c2f7ffffff,26,12.09,12.09,71743750.0,31542.807482109936,1758492323813,Synapse54,1758492323813,Synapse54
44,54011 (Ellsworth),Pierce County,Wisconsin,8627534a7ffffff,35,9.16,9.16,74134999.9921875,32066.34465184257,1758492323813,Synapse54,1758492323813,Synapse54
45,54904 (Oshkosh),Winnebago County,Wisconsin,86275c307ffffff,67,10.95,10.95,72698750.00390625,31754.784887723774,1758492323813,Synapse54,1758492323813,Synapse54
46,53019 (Eden),Fond du Lac County,Wisconsin,86275dc17ffffff,30,7.18,7.18,71933749.99609375,31586.020430924254,1758492323813,Synapse54,1758492323813,Synapse54
47,54750 (Maiden Rock),Pierce County,Wisconsin,8627534afffffff,23,9.47,9.47,74135000.00390625,32066.34465184257,1758492323813,Synapse54,1758492323813,Synapse54
48,54656 (Sparta),Monroe County,Wisconsin,86275e46fffffff,36,13.53,13.53,71274999.9921875,31443.232471987707,1758492323813,Synapse54,1758492323813,Synapse54
49,54964 (Pickett),Fond du Lac County,Wisconsin,86275c30fffffff,34,9.91,9.91,72311249.99609375,31667.913757159586,1758492323813,Synapse54,1758492323813,Synapse54
50,54011 (Ellsworth),Pierce County,Wisconsin,8627534b7ffffff,189,10.23,10.23,74333750.0,32112.221911743887,1758492323813,Synapse54,1758492323813,Synapse54
51,54971 (Ripon),Winnebago County,Wisconsin,86275c317ffffff,23,9.62,9.62,72492499.99609375,31709.722121362654,1758492323813,Synapse54,1758492323813,Synapse54
52,54769 (Stockholm),Pierce County,Wisconsin,8627534c7ffffff,22,8.33,8.33,73909999.99609375,32019.761602127634,1758492323813,Synapse54,1758492323813,Synapse54
53,54971 (Ripon),Fond du Lac County,Wisconsin,86275c31fffffff,19,9.45,9.45,72492500.0078125,31709.722121362658,1758492323813,Synapse54,1758492323813,Synapse54
54,54769 (Stockholm),Pepin County,Wisconsin,8627534cfffffff,19,8.52,8.52,73065000.0,31835.080479941455,1758492323813,Synapse54,1758492323813,Synapse54
55,54904 (Oshkosh),Winnebago County,Wisconsin,86275c327ffffff,75,10.43,10.43,72492500.00390625,31708.0539298511,1758492323813,Synapse54,1758492323813,Synapse54
56,55066 (Red Wing),Goodhue County,Minnesota,8627534d7ffffff,15,7.25,7.25,73598750.0,31950.701129218338,1758492323813,Synapse54,1758492323813,Synapse54
57,54904 (Oshkosh),Winnebago County,Wisconsin,86275c32fffffff,59,9.15,9.15,72517500.0,31712.9765235207,1758492323813,Synapse54,1758492323813,Synapse54
58,55041 (Lake City),Goodhue County,Minnesota,8627534dfffffff,66,7.24,7.24,73787500.0078125,31991.76369611929,1758492323813,Synapse54,1758492323813,Synapse54
59,54964 (Pickett),Winnebago County,Wisconsin,86275c337ffffff,53,9.45,9.45,72931249.9921875,31802.923673920188,1758492323813,Synapse54,1758492323813,Synapse54
60,54750 (Maiden Rock),Pierce County,Wisconsin,8627534e7ffffff,14,8.33,8.33,73925000.0,32022.44702366481,1758492323813,Synapse54,1758492323813,Synapse54
61,54937 (Fond du Lac),Fond du Lac County,Wisconsin,86275c347ffffff,131,9.02,9.02,72418750.00390625,31691.809806785295,1758492323813,Synapse54,1758492323813,Synapse54
62,54769 (Stockholm),Pepin County,Wisconsin,8627534efffffff,19,7.88,7.88,73532500.00390625,31935.039296606003,1758492323813,Synapse54,1758492323813,Synapse54
63,54937 (Fond du Lac),Fond du Lac County,Wisconsin,86275c34fffffff,239,8.84,8.84,72211249.99609375,31648.64099216982,1758492323813,Synapse54,1758492323813,Synapse54
64,54750 (Maiden Rock),Pierce County,Wisconsin,8627534f7ffffff,25,7.84,7.84,73598750.00390625,31950.701129218338,1758492323813,Synapse54,1758492323813,Synapse54
65,53598 (Windsor),Dane County,Wisconsin,86275810fffffff,1656,12.86,12.86,69828749.99609375,31121.445114493377,1758492323813,Synapse54,1758492323813,Synapse54
66,54974 (Rosendale),Fond du Lac County,Wisconsin,86275c357ffffff,144,9.71,9.71,72259999.99609375,31656.528617211527,1758492323813,Synapse54,1758492323813,Synapse54
67,54768 (Stanley),Clark County,Wisconsin,86275148fffffff,27,12.44,12.44,75172499.9921875,32288.398431651272,1758492323813,Synapse54,1758492323813,Synapse54
68,54767 (Spring Valley),Pierce County,Wisconsin,862753507ffffff,28,8.54,8.54,74789999.99609375,32209.814343961305,1758492323813,Synapse54,1758492323813,Synapse54
69,53532 (Deforest),Dane County,Wisconsin,862758117ffffff,35,13.62,13.62,70035000.0,31166.593952881918,1758492323813,Synapse54,1758492323813,Synapse54
70,54726 (Boyd),Chippewa County,Wisconsin,862751497ffffff,79,8.3,8.3,75568750.0,32375.74425106474,1758492323813,Synapse54,1758492323813,Synapse54
71,54932 (Eldorado),Fond du Lac County,Wisconsin,86275c35fffffff,54,9.89,9.89,71899999.99609375,31574.627458228268,1758492323813,Synapse54,1758492323813,Synapse54
72,54740 (Elmwood),Pierce County,Wisconsin,86275350fffffff,107,10.12,10.12,74790000.0,32209.814343961305,1758492323813,Synapse54,1758492323813,Synapse54
73,53597 (Waunakee),Dane County,Wisconsin,86275811fffffff,167,12.7,12.7,70007500.00390625,31163.511681772587,1758492323813,Synapse54,1758492323813,Synapse54
74,54726 (Boyd),Chippewa County,Wisconsin,86275149fffffff,41,14.86,14.86,75587500.0078125,32379.194197256962,1758492323813,Synapse54,1758492323813,Synapse54
75,54979 (Van Dyne),Fond du Lac County,Wisconsin,86275c367ffffff,81,7.49,7.49,72417500.0,31691.63977298292,1758492323813,Synapse54,1758492323813,Synapse54
76,54767 (Spring Valley),Pierce County,Wisconsin,862753517ffffff,163,9.78,9.78,74790000.0,32209.814343961305,1758492323813,Synapse54,1758492323813,Synapse54
77,53911 (Arlington),Columbia County,Wisconsin,862758127ffffff,25,9.4,9.4,70136249.9921875,31193.55327167581,1758492323813,Synapse54,1758492323813,Synapse54
78,54768 (Stanley),Clark County,Wisconsin,8627514a7ffffff,280,12.25,12.25,75806249.99609375,32424.271917724036,1758492323813,Synapse54,1758492323813,Synapse54
79,54937 (Fond du Lac),Fond du Lac County,Wisconsin,86275c36fffffff,2388,10.13,10.13,71801249.9921875,31556.45982241994,1758492323813,Synapse54,1758492323813,Synapse54
80,53532 (Deforest),Dane County,Wisconsin,86275812fffffff,62,11.9,11.9,69957500.0,31151.275082842145,1758492323813,Synapse54,1758492323813,Synapse54
81,54767 (Spring Valley),Pierce County,Wisconsin,86275351fffffff,22,8.37,8.37,74584999.99609375,32166.274286857595,1758492323813,Synapse54,1758492323813,Synapse54
82,54768 (Stanley),Clark County,Wisconsin,8627514afffffff,57,14.54,14.54,75398750.0078125,32336.38714015299,1758492323813,Synapse54,1758492323813,Synapse54
83,54979 (Van Dyne),Fond du Lac County,Wisconsin,86275c377ffffff,37,9.14,9.14,72418750.00390625,31691.8098067853,1758492323813,Synapse54,1758492323813,Synapse54
84,54027 (Wilson),St. Croix County,Wisconsin,862753527ffffff,41,9.38,9.38,75247500.00390625,32304.834708022103,1758492323813,Synapse54,1758492323813,Synapse54
85,53911 (Arlington),Columbia County,Wisconsin,862758137ffffff,95,12.12,12.12,70365000.0,31241.574470781572,1758492323813,Synapse54,1758492323813,Synapse54
86,54768 (Stanley),Chippewa County,Wisconsin,8627514b7ffffff,42,12.8,12.8,75806250.0,32424.271917724036,1758492323813,Synapse54,1758492323813,Synapse54
87,54971 (Ripon),Green Lake County,Wisconsin,86275c387ffffff,31,7.93,7.93,72442500.00390625,31699.829556112116,1758492323813,Synapse54,1758492323813,Synapse54
88,53590 (Sun Prairie),Dane County,Wisconsin,862758147ffffff,1276,11.92,11.92,69857499.99609375,31129.43542973455,1758492323813,Synapse54,1758492323813,Synapse54
89,54767 (Spring Valley),Dunn County,Wisconsin,86275352fffffff,17,9.44,9.44,74790000.0078125,32209.814343961305,1758492323813,Synapse54,1758492323813,Synapse54
90,54771 (Thorp),Clark County,Wisconsin,8627514c7ffffff,18,13.04,13.04,75291249.99609375,32313.94009384934,1758492323813,Synapse54,1758492323813,Synapse54
91,54971 (Ripon),Fond du Lac County,Wisconsin,86275c38fffffff,247,8.04,8.04,72055000.0,31614.68234349119,1758492323813,Synapse54,1758492323813,Synapse54
92,53527 (Cottage Grove),Dane County,Wisconsin,86275814fffffff,731,9.92,9.92,69523750.0,31056.2957607356,1758492323813,Synapse54,1758492323813,Synapse54
93,54493 (Willard),Clark County,Wisconsin,8627514cfffffff,31,12.11,12.11,75291250.00390625,32313.94009384934,1758492323813,Synapse54,1758492323813,Synapse54
94,54767 (Spring Valley),St. Croix County,Wisconsin,862753537ffffff,35,9.56,9.56,75026249.98828125,32258.23293111431,1758492323813,Synapse54,1758492323813,Synapse54
95,53718 (Madison),Dane County,Wisconsin,862758157ffffff,1722,10.01,10.01,69728750.00390625,31099.608538570228,1758492323813,Synapse54,1758492323813,Synapse54
96,54771 (Thorp),Clark County,Wisconsin,8627514d7ffffff,8,12.12,12.12,75172500.0078125,32288.398431651272,1758492323813,Synapse54,1758492323813,Synapse54
97,54740 (Elmwood),Dunn County,Wisconsin,862753547ffffff,19,8.41,8.41,74392499.99609375,32122.610413564485,1758492323813,Synapse54,1758492323813,Synapse54
98,54771 (Thorp),Clark County,Wisconsin,8627514dfffffff,3,10.71,10.71,74737500.0078125,32193.741416834288,1758492323813,Synapse54,1758492323813,Synapse54
99,54941 (Green Lake),Green Lake County,Wisconsin,86275c397ffffff,7,8.05,8.05,72412500.0,31691.072500370763,1758492323813,Synapse54,1758492323813,Synapse54
100,53718 (Madison),Dane County,Wisconsin,86275815fffffff,1679,9.69,9.69,69499999.99609375,31051.58733946446,1758492323813,Synapse54,1758492323813,Synapse54
101,54737 (Eau Galle),Pepin County,Wisconsin,86275354fffffff,42,9.35,9.35,74063750.00390625,32050.606734649733,1758492323813,Synapse54,1758492323813,Synapse54
102,54437 (Greenwood),Clark County,Wisconsin,8627514e7ffffff,46,21.8,21.8,75527500.00390625,32362.64584061771,1758492323813,Synapse54,1758492323813,Synapse54
103,54941 (Green Lake),Green Lake County,Wisconsin,86275c39fffffff,114,6.41,6.41,72254999.9921875,31654.01669603492,1758492323813,Synapse54,1758492323813,Synapse54
104,53590 (Sun Prairie),Dane County,Wisconsin,862758167ffffff,333,10.35,10.35,69881250.00390625,31134.14385100568,1758492323813,Synapse54,1758492323813,Synapse54
105,54437 (Greenwood),Clark County,Wisconsin,8627514efffffff,21,13.82,13.82,75161249.9921875,32285.229613925225,1758492323813,Synapse54,1758492323813,Synapse54
106,54740 (Elmwood),Dunn County,Wisconsin,862753557ffffff,13,7.98,7.98,74363750.00390625,32115.07775983097,1758492323813,Synapse54,1758492323813,Synapse54
107,54923 (Berlin),Winnebago County,Wisconsin,86275c3a7ffffff,35,9.31,9.31,72673750.00390625,31749.86229405417,1758492323813,Synapse54,1758492323813,Synapse54
108,53559 (Marshall),Dane County,Wisconsin,86275816fffffff,60,8.34,8.34,69628750.00390625,31081.821586684026,1758492323813,Synapse54,1758492323813,Synapse54
109,54771 (Thorp),Clark County,Wisconsin,8627514f7ffffff,22,14.29,14.29,75587500.0,32379.194197256962,1758492323813,Synapse54,1758492323813,Synapse54
110,54721 (Arkansaw),Pepin County,Wisconsin,86275355fffffff,20,9.48,9.48,74363749.9921875,32115.07775983097,1758492323813,Synapse54,1758492323813,Synapse54
111,54971 (Ripon),Fond du Lac County,Wisconsin,86275c3afffffff,151,6.71,6.71,72459999.9921875,31700.57762010522,1758492323813,Synapse54,1758492323813,Synapse54
112,53590 (Sun Prairie),Dane County,Wisconsin,862758177ffffff,2443,11.3,11.3,69857500.0078125,31129.43542973455,1758492323813,Synapse54,1758492323813,Synapse54
113,54751 (Menomonie),Dunn County,Wisconsin,862753567ffffff,25,7.74,7.74,74615000.0,32166.202871043446,1758492323813,Synapse54,1758492323813,Synapse54
114,54498 (Withee),Taylor County,Wisconsin,862751507ffffff,13,14.94,14.94,76400000.0,32549.470673888907,1758492323813,Synapse54,1758492323813,Synapse54
115,54923 (Berlin),Green Lake County,Wisconsin,86275c3b7ffffff,335,10.53,10.53,72460000.00390625,31699.296874109743,1758492323813,Synapse54,1758492323813,Synapse54
116,53529 (Dane),Dane County,Wisconsin,862758187ffffff,42,12.07,12.07,69757499.9921875,31106.049535529703,1758492323813,Synapse54,1758492323813,Synapse54
117,54751 (Menomonie),Dunn County,Wisconsin,86275356fffffff,18,8.0,8.0,74615000.0078125,32166.202871043446,1758492323813,Synapse54,1758492323813,Synapse54
118,54498 (Withee),Taylor County,Wisconsin,86275150fffffff,19,13.77,13.77,75885000.0078125,32439.320422262143,1758492323813,Synapse54,1758492323813,Synapse54
119,54943 (Hancock),Adams County,Wisconsin,86275c407ffffff,14,7.61,7.61,73447499.9921875,31913.538360029994,1758492323813,Synapse54,1758492323813,Synapse54
120,53597 (Waunakee),Dane County,Wisconsin,86275818fffffff,107,9.19,9.19,69806250.0078125,31118.52855348007,1758492323813,Synapse54,1758492323813,Synapse54
121,54740 (Elmwood),Dunn County,Wisconsin,862753577ffffff,18,8.7,8.7,74677500.0078125,32186.456905755986,1758492323813,Synapse54,1758492323813,Synapse54
122,54433 (Gilman),Taylor County,Wisconsin,862751517ffffff,18,13.64,13.64,76609999.99609375,32593.778062353555,1758492323813,Synapse54,1758492323813,Synapse54
123,54943 (Hancock),Waushara County,Wisconsin,86275c40fffffff,19,8.09,8.09,72934999.9921875,31806.573517029345,1758492323813,Synapse54,1758492323813,Synapse54
124,53560 (Mazomanie),Dane County,Wisconsin,862758197ffffff,58,8.59,8.59,69783749.9921875,31114.03985077087,1758492323813,Synapse54,1758492323813,Synapse54
125,54003 (Beldenville),Pierce County,Wisconsin,862753587ffffff,36,9.07,9.07,74790000.00390625,32206.69192502962,1758492323813,Synapse54,1758492323813,Synapse54
126,54447 (Lublin),Taylor County,Wisconsin,86275151fffffff,40,13.7,13.7,76480000.0,32564.91260488851,1758492323813,Synapse54,1758492323813,Synapse54
127,54921 (Bancroft),Adams County,Wisconsin,86275c417ffffff,3,6.38,6.38,73316250.00390625,31884.146418125143,1758492323813,Synapse54,1758492323813,Synapse54
128,53528 (Cross Plains),Dane County,Wisconsin,86275819fffffff,56,9.21,9.21,69555000.0078125,31066.01865166511,1758492323813,Synapse54,1758492323813,Synapse54
129,54011 (Ellsworth),Pierce County,Wisconsin,86275358fffffff,49,11.48,11.48,74338750.0,32109.895930022576,1758492323813,Synapse54,1758492323813,Synapse54
130,54451 (Medford),Taylor County,Wisconsin,862751527ffffff,3,14.29,14.29,76610000.0,32595.92095803193,1758492323813,Synapse54,1758492323813,Synapse54
131,54943 (Hancock),Adams County,Wisconsin,86275c41fffffff,7,7.29,7.29,73038750.00390625,31828.565349376426,1758492323813,Synapse54,1758492323813,Synapse54
132,53555 (Lodi),Dane County,Wisconsin,8627581a7ffffff,86,10.7,10.7,70185000.0,31205.753767317645,1758492323813,Synapse54,1758492323813,Synapse54
133,54022 (River Falls),Pierce County,Wisconsin,862753597ffffff,32,8.21,8.21,74324999.99609375,32107.39578206985,1758492323813,Synapse54,1758492323813,Synapse54
134,54498 (Withee),Taylor County,Wisconsin,86275152fffffff,11,12.64,12.64,76419999.99609375,32553.208589314698,1758492323813,Synapse54,1758492323813,Synapse54
135,54966 (Plainfield),Waushara County,Wisconsin,86275c427ffffff,17,8.81,8.81,73293750.00390625,31885.945703071073,1758492323813,Synapse54,1758492323813,Synapse54
136,54011 (Ellsworth),Pierce County,Wisconsin,86275359fffffff,187,9.23,9.23,74570000.0,32160.640498896886,1758492323813,Synapse54,1758492323813,Synapse54
137,53529 (Dane),Dane County,Wisconsin,8627581afffffff,273,11.99,11.99,69833750.0,31126.73858728318,1758492323813,Synapse54,1758492323813,Synapse54
138,54966 (Plainfield),Waushara County,Wisconsin,86275c42fffffff,20,10.26,10.26,73447499.99609375,31913.538360029994,1758492323813,Synapse54,1758492323813,Synapse54
139,54767 (Spring Valley),Pierce County,Wisconsin,8627535a7ffffff,61,10.07,10.07,74682500.0078125,32183.997937102213,1758492323813,Synapse54,1758492323813,Synapse54
140,53555 (Lodi),Dane County,Wisconsin,8627581b7ffffff,38,7.95,7.95,70012500.0,31162.061049876633,1758492323813,Synapse54,1758492323813,Synapse54
141,54451 (Medford),Taylor County,Wisconsin,862751537ffffff,10,15.63,15.63,76591250.0,32592.358475073426,1758492323813,Synapse54,1758492323813,Synapse54
142,54921 (Bancroft),Adams County,Wisconsin,86275c437ffffff,10,6.25,6.25,73038750.00390625,31828.56534937643,1758492323813,Synapse54,1758492323813,Synapse54
143,54767 (Spring Valley),Pierce County,Wisconsin,8627535afffffff,38,9.6,9.6,74447499.99609375,32135.590571025507,1758492323813,Synapse54,1758492323813,Synapse54
144,53548 (Janesville),Rock County,Wisconsin,862758207ffffff,69,9.57,9.57,68691250.00390625,30869.213532275335,1758492323813,Synapse54,1758492323813,Synapse54
145,54460 (Owen),Clark County,Wisconsin,862751547ffffff,49,19.68,19.68,75884999.9921875,32439.320422262143,1758492323813,Synapse54,1758492323813,Synapse54
146,54943 (Hancock),Waushara County,Wisconsin,86275c447ffffff,23,11.5,11.5,72928750.0,31803.313482721278,1758492323813,Synapse54,1758492323813,Synapse54
147,54022 (River Falls),Pierce County,Wisconsin,8627535b7ffffff,48,9.21,9.21,74751250.0,32199.86288016923,1758492323813,Synapse54,1758492323813,Synapse54
148,53536 (Evansville),Rock County,Wisconsin,86275820fffffff,72,9.8,9.8,68090000.00390625,30734.028888795267,1758492323813,Synapse54,1758492323813,Synapse54
149,54422 (Curtiss),Clark County,Wisconsin,86275154fffffff,104,19.92,19.92,75885000.0,32439.320422262143,1758492323813,Synapse54,1758492323813,Synapse54
150,54930 (Coloma),Waushara County,Wisconsin,86275c44fffffff,50,12.63,12.63,72774999.99609375,31768.888527548293,1758492323813,Synapse54,1758492323813,Synapse54
151,55981 (Wabasha),Wabasha County,Minnesota,862753607ffffff,87,6.76,6.76,72672500.0,31751.33627402519,1758492323813,Synapse54,1758492323813,Synapse54
152,53536 (Evansville),Rock County,Wisconsin,862758217ffffff,165,10.15,10.15,68067499.99609375,30729.466217257504,1758492323813,Synapse54,1758492323813,Synapse54
153,54498 (Withee),Clark County,Wisconsin,862751557ffffff,51,19.1,19.1,76053750.00390625,32478.470308020875,1758492323813,Synapse54,1758492323813,Synapse54
154,54930 (Coloma),Waushara County,Wisconsin,86275c457ffffff,21,7.55,7.55,73007500.0,31820.666141853613,1758492323813,Synapse54,1758492323813,Synapse54
155,55910 (Altura),Wabasha County,Minnesota,86275360fffffff,10,6.54,6.54,72858749.99609375,31794.884656907845,1758492323813,Synapse54,1758492323813,Synapse54
156,53536 (Evansville),Rock County,Wisconsin,86275821fffffff,26,8.93,8.93,68293750.0,30777.47585821104,1758492323813,Synapse54,1758492323813,Synapse54
157,54460 (Owen),Clark County,Wisconsin,86275155fffffff,226,10.89,10.89,75884999.9921875,32439.320422262143,1758492323813,Synapse54,1758492323813,Synapse54
158,54930 (Coloma),Waushara County,Wisconsin,86275c45fffffff,77,8.95,8.95,72672500.00390625,31750.714589881816,1758492323813,Synapse54,1758492323813,Synapse54
159,54610 (Alma),Buffalo County,Wisconsin,862753627ffffff,31,11.52,11.52,73406250.0,31910.37394465677,1758492323813,Synapse54,1758492323813,Synapse54
160,53534 (Edgerton),Rock County,Wisconsin,862758227ffffff,76,10.51,10.51,68194999.99609375,30759.52121529959,1758492323813,Synapse54,1758492323813,Synapse54
161,54422 (Curtiss),Taylor County,Wisconsin,862751567ffffff,54,13.04,13.04,76122499.99609375,32488.16272755908,1758492323813,Synapse54,1758492323813,Synapse54
162,54982 (Wautoma),Waushara County,Wisconsin,86275c467ffffff,33,10.86,10.86,72905000.0,31798.70904182361,1758492323813,Synapse54,1758492323813,Synapse54
163,54610 (Alma),Buffalo County,Wisconsin,86275362fffffff,30,6.91,6.91,73108750.0,31843.67488796211,1758492323813,Synapse54,1758492323813,Synapse54
164,53545 (Janesville),Rock County,Wisconsin,86275822fffffff,182,9.85,9.85,68218750.00390625,30764.259966178426,1758492323813,Synapse54,1758492323813,Synapse54
165,54425 (Dorchester),Clark County,Wisconsin,86275156fffffff,52,15.07,15.07,75885000.0078125,32439.320422262143,1758492323813,Synapse54,1758492323813,Synapse54
166,54982 (Wautoma),Waushara County,Wisconsin,86275c46fffffff,46,10.62,10.62,73111249.9921875,31843.621540375276,1758492323813,Synapse54,1758492323813,Synapse54
167,54756 (Nelson),Buffalo County,Wisconsin,862753637ffffff,108,5.91,5.91,73202499.99609375,31866.27830398694,1758492323813,Synapse54,1758492323813,Synapse54
168,53536 (Evansville),Rock County,Wisconsin,862758237ffffff,29,10.03,10.03,68789999.9921875,30890.82721980015,1758492323813,Synapse54,1758492323813,Synapse54
