OBJECTID,CONAME,ADDR,CITY,STATE_NAME,STATE,ZIP,ZIP4,NAICS,NAICS_ALL,SIC,SIC_ALL,INDUSTRY_DESC,AFFILIATE,BRAND,HQNAME,LOC_CONF,NAICS_SECT,PLACETYPE,SQFOOTAGE,MIN_SQFT,MAX_SQFT,EMPNUM,SALESVOL,SOURCE,ESRI_PID,DESC_,LATITUDE,LONGITUDE,CreationDate,Creator,EditDate,Editor
1,34 Drive in Theatre,E 12th Rd,Earlville,Illinois,IL,60518,,51213202,"51213202, 71111007",783301,"783301, 792207","Drive-In Motion Picture Theaters, Theatres-Live",,,,High,Information,Independent,1 - 1499,1.0,1499.0,3,110000.0,Data Axle,9dfc3b4cfd231f99653cc15d7e4ebed8,"34 Drive in Theatre, Earlville, Illinois",41.580677999999985,-88.936704,1758493555740,Synapse54,1758493555740,Synapse54
2,Alamo Drafthouse Wrigleyville,N Clark St # Suitec301 St,Chicago,Illinois,IL,60657,,51213101,"51213101, 72241001, 72251117, 71131005, 72241003",783201,"783201, 581301, 581208, 651211, 581303","Theatres-Movie, Bars, Restaurants, Event Centers, Cocktail Lounges",,,Alamo Drafthouse Cinemas,Low,Information,Branch,1 - 1499,1.0,1499.0,3,207000.0,Data Axle,03320ecfd9096fb1d47784b8c26009ee,"Alamo Drafthouse Wrigleyville, Chicago, Illinois",41.939694999999986,-87.66901000000001,1758493555740,Synapse54,1758493555740,Synapse54
3,AMC Champaign 13,Meijer Dr,Champaign,Illinois,IL,61822,1237,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,40000 - 99999,40000.0,99999.0,18,1121000.0,Data Axle,846c319d83e9730f6ae2e6f05022aa51,"AMC Champaign 13, Champaign, Illinois",40.14752699999999,-88.26023300000001,1758493555740,Synapse54,1758493555740,Synapse54
4,AMC Chicago Ridge 6,Chicago Ridge Mall,Chicago Ridge,Illinois,IL,60415,2605,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,100000+,100000.0,,38,2611000.0,Data Axle,a788b2cbfc03c1353c48dc3b8aee2bcc,"AMC Chicago Ridge 6, Chicago Ridge, Illinois",41.71528599999997,-87.782537,1758493555740,Synapse54,1758493555740,Synapse54
5,AMC Cicero 14,W Cermak Rd,Cicero,Illinois,IL,60804,2508,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,100000+,100000.0,,49,3367000.0,Data Axle,2a96e5a12f46504302a7b594a063bafb,"AMC Cicero 14, Cicero, Illinois",41.848888999999986,-87.74255899999999,1758493555740,Synapse54,1758493555740,Synapse54
6,AMC CLASSIC Decatur 10,S Mount Zion Rd,Decatur,Illinois,IL,62521,9719,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,40000 - 99999,40000.0,99999.0,15,1063000.0,Data Axle,898460d1ccecdb01b82b0e61d58c052f,"AMC CLASSIC Decatur 10, Decatur, Illinois",39.813683000000005,-88.876113,1758493555740,Synapse54,1758493555740,Synapse54
7,AMC CLASSIC Galesburg 8,W Carl Sandburg Dr,Galesburg,Illinois,IL,61401,1370,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,40000 - 99999,40000.0,99999.0,20,1256000.0,Data Axle,c3f704ae13d454de462c5506697ff5fb,"AMC CLASSIC Galesburg 8, Galesburg, Illinois",40.969925,-90.39482399999999,1758493555740,Synapse54,1758493555740,Synapse54
8,AMC CLASSIC Grand Prairie 18,W American Prairie Dr,Peoria,Illinois,IL,61615,9267,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,40000 - 99999,40000.0,99999.0,23,1393000.0,Data Axle,ecc5551022b6c6d46f9e8eec7bef88a9,"AMC CLASSIC Grand Prairie 18, Peoria, Illinois",40.78307299999999,-89.67671600000001,1758493555740,Synapse54,1758493555740,Synapse54
9,AMC CLASSIC Illinois Centre 8,Civic Circle Blvd,Marion,Illinois,IL,62959,5222,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,40000 - 99999,40000.0,99999.0,15,794000.0,Data Axle,60fe5e36e7cd31eb3a6d8d6884731249,"AMC CLASSIC Illinois Centre 8, Marion, Illinois",37.75072900000001,-88.979417,1758493555740,Synapse54,1758493555740,Synapse54
10,AMC CLASSIC Mattoon 10,Hurst Dr,Mattoon,Illinois,IL,61938,9251,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,40000 - 99999,40000.0,99999.0,18,831000.0,Data Axle,5afe3a508c76f4bc5f51699129cf2da8,"AMC CLASSIC Mattoon 10, Mattoon, Illinois",39.48178,-88.305903,1758493555740,Synapse54,1758493555740,Synapse54
11,AMC CLASSIC Morris 10,Gore Rd,Morris,Illinois,IL,60450,8600,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,40000 - 99999,40000.0,99999.0,26,1608000.0,Data Axle,755f62c1c0c9cc751c8d42034d079cad,"AMC CLASSIC Morris 10, Morris, Illinois",41.386034999999985,-88.428629,1758493555740,Synapse54,1758493555740,Synapse54
12,AMC CLASSIC Mount Vernon 8,Potomac Blvd,Mount Vernon,Illinois,IL,62864,9601,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,40000 - 99999,40000.0,99999.0,17,863000.0,Data Axle,c02fee7d13638f4545e8f8e9728e8702,"AMC CLASSIC Mount Vernon 8, Mount Vernon, Illinois",38.320572,-88.95861599999999,1758493555740,Synapse54,1758493555740,Synapse54
13,AMC CLASSIC Normal 14,Mcknight St,Normal,Illinois,IL,61761,5279,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,40000 - 99999,40000.0,99999.0,17,1033000.0,Data Axle,a67dad90b9063691ccbf67df6ca08e19,"AMC CLASSIC Normal 14, Normal, Illinois",40.537942,-88.990118,1758493555740,Synapse54,1758493555740,Synapse54
14,AMC CLASSIC Pekin 14,Edgewater Dr,North Pekin,Illinois,IL,61554,1588,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,2500 - 4999,2500.0,4999.0,4,,Data Axle,1a47091dd36dfb8b4d017be8d466302d,"AMC CLASSIC Pekin 14, North Pekin, Illinois",40.60248200000001,-89.62951699999998,1758493555740,Synapse54,1758493555740,Synapse54
15,AMC CLASSIC Quincy 6,N 33 Rd St,Quincy,Illinois,IL,62301,3781,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,40000 - 99999,40000.0,99999.0,21,1074000.0,Data Axle,50f51cf763c413ffd8c7ef08825f019a,"AMC CLASSIC Quincy 6, Quincy, Illinois",39.934040999999986,-91.362577,1758493555740,Synapse54,1758493555740,Synapse54
16,AMC CLASSIC Sauk Valley 8,E 30 Th St,Sterling,Illinois,IL,61081,9798,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,40000 - 99999,40000.0,99999.0,18,851000.0,Data Axle,c7af8a2de859cfef84b54eb7ad48061d,"AMC CLASSIC Sauk Valley 8, Sterling, Illinois",41.817965,-89.64866399999997,1758493555740,Synapse54,1758493555740,Synapse54
17,AMC CLASSIC Springfield 12,Mercantile Dr,Springfield,Illinois,IL,62711,6438,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,40000 - 99999,40000.0,99999.0,18,973000.0,Data Axle,f30706417d6d20275c7a67853f91d5e5,"AMC CLASSIC Springfield 12, Springfield, Illinois",39.75464199999999,-89.727304,1758493555740,Synapse54,1758493555740,Synapse54
