OBJECTID,admin4_name,admin3_name,admin2_name,id,MP22086A_B,MP22086A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,62001 (Alhambra),Madison County,Illinois,8626446efffffff,14,3.72,3.72,58506250.0,28495.659389104243,1758492113373,Synapse54,1758492113373,Synapse54
2,62056 (Litchfield),Montgomery County,Illinois,862644707ffffff,23,3.48,3.48,58404999.99609375,28472.98305760687,1758492113373,Synapse54,1758492113373,Synapse54
3,62056 (Litchfield),Montgomery County,Illinois,86264470fffffff,3,3.23,3.23,58781250.0,28567.642840705506,1758492113373,Synapse54,1758492113373,Synapse54
4,62069 (Mount Olive),Macoupin County,Illinois,86264471fffffff,13,4.33,4.33,58390000.0,28475.444920139747,1758492113373,Synapse54,1758492113373,Synapse54
5,62056 (Litchfield),Montgomery County,Illinois,862644727ffffff,64,4.34,4.34,58781250.0,28567.87574780077,1758492113373,Synapse54,1758492113373,Synapse54
6,62056 (Litchfield),Montgomery County,Illinois,86264472fffffff,127,3.69,3.69,58608750.00390625,28523.45802551955,1758492113373,Synapse54,1758492113373,Synapse54
7,62056 (Litchfield),Macoupin County,Illinois,862644737ffffff,2,4.26,4.26,58405000.0,28472.98305760687,1758492113373,Synapse54,1758492113373,Synapse54
8,62091 (Walshville),Montgomery County,Illinois,862644747ffffff,5,4.03,4.03,58508750.0,28500.402547966376,1758492113373,Synapse54,1758492113373,Synapse54
9,62086 (Sorento),Bond County,Illinois,86264474fffffff,17,3.98,3.98,58218750.0,28431.039045424375,1758492113373,Synapse54,1758492113373,Synapse54
10,62091 (Walshville),Montgomery County,Illinois,862644757ffffff,5,3.73,3.73,58218750.0,28431.039045424375,1758492113373,Synapse54,1758492113373,Synapse54
11,62086 (Sorento),Montgomery County,Illinois,86264475fffffff,22,4.16,4.16,58508749.99609375,28500.402547966372,1758492113373,Synapse54,1758492113373,Synapse54
12,62049 (Hillsboro),Montgomery County,Illinois,862644767ffffff,7,4.05,4.05,58321249.99609375,28458.461276786536,1758492113373,Synapse54,1758492113373,Synapse54
13,62049 (Hillsboro),Montgomery County,Illinois,86264476fffffff,9,3.69,3.69,58421250.00390625,28475.96848034799,1758492113373,Synapse54,1758492113373,Synapse54
14,62049 (Hillsboro),Montgomery County,Illinois,862644777ffffff,6,3.87,3.87,58406250.0,28473.20411713629,1758492113373,Synapse54,1758492113373,Synapse54
15,62571 (Tower Hill),Shelby County,Illinois,862644a07ffffff,4,3.96,3.96,58424999.99609375,28481.30249955349,1758492113373,Synapse54,1758492113373,Synapse54
16,62571 (Tower Hill),Shelby County,Illinois,862644a0fffffff,4,4.3,4.3,58187500.00390625,28426.351428805334,1758492113373,Synapse54,1758492113373,Synapse54
17,62265 (New Baden),Clinton County,Illinois,862640127ffffff,16,4.27,4.27,57945000.0,28358.942990582444,1758492113373,Synapse54,1758492113373,Synapse54
18,62557 (Pana),Shelby County,Illinois,862644a17ffffff,10,3.58,3.58,58170000.0,28422.989017121174,1758492113373,Synapse54,1758492113373,Synapse54
19,62271 (Okawville),Clinton County,Illinois,86264012fffffff,7,3.41,3.41,57742500.0,28309.303506499375,1758492113373,Synapse54,1758492113373,Synapse54
20,62571 (Tower Hill),Shelby County,Illinois,862644a1fffffff,4,4.21,4.21,58170000.0,28422.989017121177,1758492113373,Synapse54,1758492113373,Synapse54
21,62571 (Tower Hill),Shelby County,Illinois,862644a27ffffff,10,4.63,4.63,58325000.00390625,28459.217028399486,1758492113373,Synapse54,1758492113373,Synapse54
22,62258 (Mascoutah),St. Clair County,Illinois,862640137ffffff,9,5.84,5.84,58116249.99609375,28403.34886529782,1758492113373,Synapse54,1758492113373,Synapse54
23,62438 (Lakewood),Shelby County,Illinois,862644a2fffffff,6,3.9,3.9,57984999.99609375,28376.64892843383,1758492113373,Synapse54,1758492113373,Synapse54
24,62571 (Tower Hill),Shelby County,Illinois,862644a37ffffff,20,4.64,4.64,57967500.0,28373.266694098493,1758492113373,Synapse54,1758492113373,Synapse54
25,62414 (Beecher City),Fayette County,Illinois,862644a47ffffff,12,4.33,4.33,57985000.00390625,28370.896875934483,1758492113373,Synapse54,1758492113373,Synapse54
26,62414 (Beecher City),Effingham County,Illinois,862644a4fffffff,17,4.23,4.23,57797499.99609375,28328.592914803234,1758492113373,Synapse54,1758492113373,Synapse54
27,62422 (Cowden),Fayette County,Illinois,862644a57ffffff,4,4.65,4.65,58155000.0,28415.00096062924,1758492113373,Synapse54,1758492113373,Synapse54
28,62414 (Beecher City),Fayette County,Illinois,862644a5fffffff,9,4.25,4.25,57967500.0,28372.696999497988,1758492113373,Synapse54,1758492113373,Synapse54
29,62414 (Beecher City),Shelby County,Illinois,862644a67ffffff,5,3.5,3.5,57967500.0,28372.696999497988,1758492113373,Synapse54,1758492113373,Synapse54
30,62461 (Shumway),Effingham County,Illinois,862644a6fffffff,8,4.35,4.35,57886250.0,28348.81962508441,1758492113373,Synapse54,1758492113373,Synapse54
31,62422 (Cowden),Shelby County,Illinois,862644a77ffffff,25,4.27,4.27,58169999.99609375,28422.989017121174,1758492113373,Synapse54,1758492113373,Synapse54
32,62553 (Oconee),Montgomery County,Illinois,862644a87ffffff,5,3.57,3.57,58425000.0,28481.30249955349,1758492113373,Synapse54,1758492113373,Synapse54
33,62553 (Oconee),Shelby County,Illinois,862644a8fffffff,3,3.66,3.66,58424999.99609375,28481.30249955349,1758492113373,Synapse54,1758492113373,Synapse54
34,62075 (Nokomis),Montgomery County,Illinois,862644a97ffffff,2,4.26,4.26,58050000.0,28391.969930917163,1758492113373,Synapse54,1758492113373,Synapse54
35,62080 (Ramsey),Montgomery County,Illinois,862644a9fffffff,4,3.92,3.92,58050000.0,28391.969930917163,1758492113373,Synapse54,1758492113373,Synapse54
36,62557 (Pana),Shelby County,Illinois,862644aa7ffffff,3,4.23,4.23,58424999.99609375,28481.30249955349,1758492113373,Synapse54,1758492113373,Synapse54
37,62553 (Oconee),Shelby County,Illinois,862644aafffffff,6,3.41,3.41,58425000.00390625,28481.30249955349,1758492113373,Synapse54,1758492113373,Synapse54
38,62083 (Rosamond),Montgomery County,Illinois,862644ab7ffffff,6,4.51,4.51,58425000.0,28481.30249955349,1758492113373,Synapse54,1758492113373,Synapse54
39,62080 (Ramsey),Fayette County,Illinois,862644ac7ffffff,4,3.88,3.88,58325000.00390625,28459.217028399486,1758492113373,Synapse54,1758492113373,Synapse54
40,62414 (Beecher City),Fayette County,Illinois,862644acfffffff,1,3.23,3.23,58083750.0,28398.495632499737,1758492113373,Synapse54,1758492113373,Synapse54
41,62080 (Ramsey),Fayette County,Illinois,862644ad7ffffff,6,3.75,3.75,58067500.00390625,28395.352165252498,1758492113373,Synapse54,1758492113373,Synapse54
42,62080 (Ramsey),Fayette County,Illinois,862644adfffffff,5,3.7,3.7,58066249.99609375,28395.1133981644,1758492113373,Synapse54,1758492113373,Synapse54
43,62431 (Herrick),Shelby County,Illinois,862644ae7ffffff,19,4.08,4.08,58066250.0,28395.1133981644,1758492113373,Synapse54,1758492113373,Synapse54
44,62422 (Cowden),Fayette County,Illinois,862644aefffffff,4,3.33,3.33,57865000.0,28345.06014762931,1758492113373,Synapse54,1758492113373,Synapse54
45,62553 (Oconee),Shelby County,Illinois,862644af7ffffff,5,3.94,3.94,57984999.99609375,28376.64892843383,1758492113373,Synapse54,1758492113373,Synapse54
46,62565 (Shelbyville),Shelby County,Illinois,862644b0fffffff,11,5.37,5.37,58155000.00390625,28415.34010844558,1758492113373,Synapse54,1758492113373,Synapse54
47,62571 (Tower Hill),Shelby County,Illinois,862644b1fffffff,15,4.67,4.67,58155000.0,28415.34010844558,1758492113373,Synapse54,1758492113373,Synapse54
48,62565 (Shelbyville),Shelby County,Illinois,862644b47ffffff,9,4.04,4.04,58088750.00390625,28404.504724739425,1758492113373,Synapse54,1758492113373,Synapse54
49,62361 (Pearl),Pike County,Illinois,8626469a7ffffff,9,4.31,4.31,59967500.0,28849.746992381653,1758492113373,Synapse54,1758492113373,Synapse54
50,62565 (Shelbyville),Shelby County,Illinois,862644b4fffffff,5,4.0,4.0,57886250.0,28354.212707116243,1758492113373,Synapse54,1758492113373,Synapse54
51,62082 (Roodhouse),Greene County,Illinois,86264696fffffff,4,4.76,4.76,59517500.0,28743.17952845296,1758492113373,Synapse54,1758492113373,Synapse54
52,62565 (Shelbyville),Shelby County,Illinois,862644b57ffffff,7,4.58,4.58,57967500.0,28373.266694098493,1758492113373,Synapse54,1758492113373,Synapse54
53,62438 (Lakewood),Shelby County,Illinois,862644b5fffffff,5,3.97,3.97,58088750.0,28404.504724739425,1758492113373,Synapse54,1758492113373,Synapse54
54,62565 (Shelbyville),Shelby County,Illinois,862644b67ffffff,14,5.11,5.11,58088749.99609375,28404.504724739425,1758492113373,Synapse54,1758492113373,Synapse54
55,62565 (Shelbyville),Shelby County,Illinois,862644b6fffffff,5,4.46,4.46,58088750.0,28404.504724739432,1758492113373,Synapse54,1758492113373,Synapse54
56,62565 (Shelbyville),Shelby County,Illinois,862644b77ffffff,176,4.42,4.42,58155000.0,28415.34010844558,1758492113373,Synapse54,1758492113373,Synapse54
57,62557 (Pana),Christian County,Illinois,862644b8fffffff,183,4.4,4.4,58425000.00390625,28481.30249955349,1758492113373,Synapse54,1758492113373,Synapse54
58,62557 (Pana),Christian County,Illinois,862644b9fffffff,8,4.1,4.1,58732500.0,28559.211546394177,1758492113373,Synapse54,1758492113373,Synapse54
59,62557 (Pana),Christian County,Illinois,862644bafffffff,6,5.08,5.08,58155000.0,28415.34010844558,1758492113373,Synapse54,1758492113373,Synapse54
60,62878 (Rinard),Wayne County,Illinois,862645007ffffff,6,3.9,3.9,56972499.9921875,28132.721273399096,1758492113373,Synapse54,1758492113373,Synapse54
61,62823 (Cisne),Wayne County,Illinois,86264500fffffff,23,4.15,4.15,57070000.0,28154.326000606412,1758492113373,Synapse54,1758492113373,Synapse54
62,62878 (Rinard),Wayne County,Illinois,862645017ffffff,3,3.26,3.26,57306250.0,28209.16860418302,1758492113373,Synapse54,1758492113373,Synapse54
63,62850 (Johnsonville),Wayne County,Illinois,86264501fffffff,5,3.65,3.65,57256250.00390625,28196.476022808307,1758492113373,Synapse54,1758492113373,Synapse54
64,63775 (Perryville),Perry County,Missouri,862640647ffffff,1,6.25,6.25,57369999.9921875,28220.497269554042,1758492113373,Synapse54,1758492113373,Synapse54
65,61458 (Maquon),Knox County,Illinois,862675287ffffff,5,4.2,4.2,61581250.0,29235.9798832077,1758492113373,Synapse54,1758492113373,Synapse54
66,62839 (Flora),Clay County,Illinois,862645027ffffff,7,4.17,4.17,57256250.00390625,28196.476022808307,1758492113373,Synapse54,1758492113373,Synapse54
67,62878 (Rinard),Wayne County,Illinois,86264502fffffff,4,3.48,3.48,57056250.0,28147.00097863293,1758492113373,Synapse54,1758492113373,Synapse54
68,62839 (Flora),Clay County,Illinois,862645037ffffff,28,4.2,4.2,57056250.00390625,28145.723142203915,1758492113373,Synapse54,1758492113373,Synapse54
69,62823 (Cisne),Wayne County,Illinois,862645047ffffff,3,3.41,3.41,56869999.9921875,28103.573120002016,1758492113373,Synapse54,1758492113373,Synapse54
70,62837 (Fairfield),Wayne County,Illinois,86264504fffffff,6,3.85,3.85,56887500.00390625,28101.73579914002,1758492113373,Synapse54,1758492113373,Synapse54
71,62823 (Cisne),Wayne County,Illinois,862645057ffffff,3,3.8,3.8,56869999.99609375,28103.573120002016,1758492113373,Synapse54,1758492113373,Synapse54
72,62837 (Fairfield),Wayne County,Illinois,86264505fffffff,13,4.09,4.09,56887500.0,28101.73579914002,1758492113373,Synapse54,1758492113373,Synapse54
73,62823 (Cisne),Wayne County,Illinois,862645067ffffff,3,4.29,4.29,56887500.00390625,28101.735799140017,1758492113373,Synapse54,1758492113373,Synapse54
74,62446 (Mount Erie),Wayne County,Illinois,86264506fffffff,2,3.57,3.57,56870000.0,28103.573120002016,1758492113373,Synapse54,1758492113373,Synapse54
75,62823 (Cisne),Wayne County,Illinois,862645077ffffff,4,3.77,3.77,57257500.0078125,28196.234104264022,1758492113373,Synapse54,1758492113373,Synapse54
76,62850 (Johnsonville),Wayne County,Illinois,862645087ffffff,5,3.6,3.6,57408749.99609375,28236.805397737397,1758492113373,Synapse54,1758492113373,Synapse54
77,62850 (Johnsonville),Wayne County,Illinois,86264508fffffff,5,3.97,3.97,57153750.00390625,28168.60570584024,1758492113373,Synapse54,1758492113373,Synapse54
78,62849 (Iuka),Marion County,Illinois,862645097ffffff,4,4.4,4.4,57251249.99609375,28190.44395646125,1758492113373,Synapse54,1758492113373,Synapse54
79,62959 (Marion),Williamson County,Illinois,862641c4fffffff,28,4.04,4.04,56577500.0,28023.54419610094,1758492113373,Synapse54,1758492113373,Synapse54
80,62850 (Johnsonville),Wayne County,Illinois,86264509fffffff,7,4.07,4.07,57153750.0,28168.605705840244,1758492113373,Synapse54,1758492113373,Synapse54
81,62899 (Xenia),Wayne County,Illinois,8626450a7ffffff,3,3.33,3.33,57153749.99609375,28168.839229253936,1758492113373,Synapse54,1758492113373,Synapse54
82,62850 (Johnsonville),Wayne County,Illinois,8626450afffffff,3,3.33,3.33,57257500.0,28196.234104264022,1758492113373,Synapse54,1758492113373,Synapse54
83,62899 (Xenia),Wayne County,Illinois,8626450b7ffffff,3,3.66,3.66,57257499.99609375,28196.234104264022,1758492113373,Synapse54,1758492113373,Synapse54
84,62886 (Sims),Wayne County,Illinois,8626450c7ffffff,5,3.82,3.82,57056250.0,28145.723142203915,1758492113373,Synapse54,1758492113373,Synapse54
85,62837 (Fairfield),Wayne County,Illinois,8626450cfffffff,6,4.35,4.35,57056249.99609375,28145.723142203915,1758492113373,Synapse54,1758492113373,Synapse54
86,62886 (Sims),Wayne County,Illinois,8626450d7ffffff,3,3.57,3.57,56967500.00390625,28126.689207052037,1758492113373,Synapse54,1758492113373,Synapse54
87,62886 (Sims),Wayne County,Illinois,8626450dfffffff,7,4.49,4.49,56967499.99609375,28126.689207052037,1758492113373,Synapse54,1758492113373,Synapse54
88,62823 (Cisne),Wayne County,Illinois,8626450e7ffffff,8,3.86,3.86,57056250.00390625,28145.723142203915,1758492113373,Synapse54,1758492113373,Synapse54
89,62842 (Geff),Wayne County,Illinois,8626450efffffff,18,4.37,4.37,56887500.00390625,28101.73579914002,1758492113373,Synapse54,1758492113373,Synapse54
90,62850 (Johnsonville),Wayne County,Illinois,8626450f7ffffff,7,3.57,3.57,57056249.99609375,28145.723142203915,1758492113373,Synapse54,1758492113373,Synapse54
91,62824 (Clay City),Clay County,Illinois,862645107ffffff,3,3.57,3.57,57262500.0,28202.266170611078,1758492113373,Synapse54,1758492113373,Synapse54
92,62824 (Clay City),Clay County,Illinois,86264510fffffff,16,4.26,4.26,57056249.99609375,28145.723142203915,1758492113373,Synapse54,1758492113373,Synapse54
93,62858 (Louisville),Clay County,Illinois,862645117ffffff,11,4.35,4.35,57256250.0,28196.476022808307,1758492113373,Synapse54,1758492113373,Synapse54
94,62839 (Flora),Clay County,Illinois,86264511fffffff,131,4.26,4.26,57257499.99609375,28196.234104264022,1758492113373,Synapse54,1758492113373,Synapse54
95,62858 (Louisville),Clay County,Illinois,862645127ffffff,7,3.78,3.78,57158749.99609375,28174.6377721873,1758492113373,Synapse54,1758492113373,Synapse54
96,62824 (Clay City),Clay County,Illinois,86264512fffffff,2,3.64,3.64,57257500.0078125,28196.234104264022,1758492113373,Synapse54,1758492113373,Synapse54
97,62858 (Louisville),Clay County,Illinois,862645137ffffff,8,3.85,3.85,57225000.0,28189.819006594735,1758492113373,Synapse54,1758492113373,Synapse54
98,62824 (Clay City),Clay County,Illinois,862645147ffffff,3,4.55,4.55,56972500.0,28132.7212733991,1758492113373,Synapse54,1758492113373,Synapse54
99,62446 (Mount Erie),Wayne County,Illinois,86264514fffffff,1,3.45,3.45,56887499.99609375,28101.73579914002,1758492113373,Synapse54,1758492113373,Synapse54
100,62824 (Clay City),Clay County,Illinois,862645157ffffff,4,4.82,4.82,57160000.00390625,28174.629377056706,1758492113373,Synapse54,1758492113373,Synapse54
101,62824 (Clay City),Wayne County,Illinois,86264515fffffff,3,4.11,4.11,56989999.99609375,28130.65042912341,1758492113373,Synapse54,1758492113373,Synapse54
102,62868 (Noble),Richland County,Illinois,862645167ffffff,11,4.17,4.17,57008750.0,28134.308397258214,1758492113373,Synapse54,1758492113373,Synapse54
103,62868 (Noble),Richland County,Illinois,86264516fffffff,5,3.82,3.82,57056250.00390625,28145.723142203915,1758492113373,Synapse54,1758492113373,Synapse54
104,62824 (Clay City),Clay County,Illinois,862645177ffffff,20,4.25,4.25,57158749.99609375,28174.6377721873,1758492113373,Synapse54,1758492113373,Synapse54
105,62899 (Xenia),Clay County,Illinois,862645187ffffff,6,4.03,4.03,57256250.0,28196.476022808307,1758492113373,Synapse54,1758492113373,Synapse54
106,62839 (Flora),Clay County,Illinois,86264518fffffff,10,3.66,3.66,57256250.00390625,28196.476022808307,1758492113373,Synapse54,1758492113373,Synapse54
107,62899 (Xenia),Clay County,Illinois,862645197ffffff,5,3.94,3.94,57443749.99609375,28238.384126465917,1758492113373,Synapse54,1758492113373,Synapse54
108,62899 (Xenia),Clay County,Illinois,86264519fffffff,17,3.73,3.73,57408750.0,28236.805397737397,1758492113373,Synapse54,1758492113373,Synapse54
109,62858 (Louisville),Clay County,Illinois,8626451a7ffffff,4,4.65,4.65,57426250.00390625,28240.352942762212,1758492113373,Synapse54,1758492113373,Synapse54
110,62839 (Flora),Clay County,Illinois,8626451afffffff,21,4.21,4.21,57426249.99609375,28240.352942762212,1758492113373,Synapse54,1758492113373,Synapse54
111,62899 (Xenia),Clay County,Illinois,8626451b7ffffff,3,3.66,3.66,57408750.0,28236.805397737397,1758492113373,Synapse54,1758492113373,Synapse54
112,62821 (Carmi),White County,Illinois,862645207ffffff,3,4.48,4.48,56701250.00390625,28059.585776938122,1758492113373,Synapse54,1758492113373,Synapse54
113,62821 (Carmi),White County,Illinois,86264520fffffff,2,4.65,4.65,56333750.00390625,27966.596464839302,1758492113373,Synapse54,1758492113373,Synapse54
114,62862 (Mill Shoals),White County,Illinois,862645217ffffff,3,3.8,3.8,56701250.0,28059.585776938122,1758492113373,Synapse54,1758492113373,Synapse54
115,62862 (Mill Shoals),White County,Illinois,86264521fffffff,1,4.76,4.76,56501249.99609375,28010.5754127726,1758492113373,Synapse54,1758492113373,Synapse54
116,62843 (Golden Gate),Wayne County,Illinois,862645227ffffff,1,6.67,6.67,56532499.99609375,28015.598433874227,1758492113373,Synapse54,1758492113373,Synapse54
117,62844 (Grayville),White County,Illinois,86264522fffffff,3,5.08,5.08,56701249.99609375,28059.585776938122,1758492113373,Synapse54,1758492113373,Synapse54
118,62843 (Golden Gate),Wayne County,Illinois,862645237ffffff,4,3.96,3.96,56905000.00390625,28105.151848730537,1758492113373,Synapse54,1758492113373,Synapse54
119,62821 (Carmi),White County,Illinois,862645247ffffff,3,5.08,5.08,56333750.00390625,27972.188187156644,1758492113373,Synapse54,1758492113373,Synapse54
120,62821 (Carmi),White County,Illinois,862645257ffffff,57,3.79,3.79,56501250.0,28010.575412772603,1758492113373,Synapse54,1758492113373,Synapse54
121,62821 (Carmi),White County,Illinois,86264525fffffff,2,3.7,3.7,56718749.99609375,28063.168227651022,1758492113373,Synapse54,1758492113373,Synapse54
122,62827 (Crossville),White County,Illinois,862645267ffffff,27,4.26,4.26,56436250.0,27999.82498071102,1758492113373,Synapse54,1758492113373,Synapse54
123,62827 (Crossville),White County,Illinois,862645277ffffff,2,3.77,3.77,56520000.0,28013.935102019932,1758492113373,Synapse54,1758492113373,Synapse54
124,62887 (Springerton),Hamilton County,Illinois,862645287ffffff,3,3.49,3.49,56887500.00390625,28101.73579914002,1758492113373,Synapse54,1758492113373,Synapse54
125,62835 (Enfield),White County,Illinois,86264528fffffff,2,3.57,3.57,56598749.99609375,28031.94898338375,1758492113373,Synapse54,1758492113373,Synapse54
126,62887 (Springerton),Hamilton County,Illinois,862645297ffffff,2,4.44,4.44,56598749.99609375,28031.94898338375,1758492113373,Synapse54,1758492113373,Synapse54
127,62859 (Mc Leansboro),Hamilton County,Illinois,86264529fffffff,4,3.51,3.51,56870000.0,28098.3197495495,1758492113373,Synapse54,1758492113373,Synapse54
128,62862 (Mill Shoals),White County,Illinois,8626452a7ffffff,5,3.91,3.91,56701249.99609375,28059.585776938122,1758492113373,Synapse54,1758492113373,Synapse54
129,62835 (Enfield),White County,Illinois,8626452afffffff,9,4.25,4.25,56598749.99609375,28031.94898338375,1758492113373,Synapse54,1758492113373,Synapse54
130,62828 (Dahlgren),Hamilton County,Illinois,8626452b7ffffff,1,6.25,6.25,56870000.00390625,28103.573120002016,1758492113373,Synapse54,1758492113373,Synapse54
131,62821 (Carmi),White County,Illinois,8626452c7ffffff,15,4.6,4.6,56532500.0,28015.598433874227,1758492113373,Synapse54,1758492113373,Synapse54
132,62821 (Carmi),White County,Illinois,8626452cfffffff,7,4.09,4.09,56333750.00390625,27966.596464839302,1758492113373,Synapse54,1758492113373,Synapse54
133,62835 (Enfield),White County,Illinois,8626452d7ffffff,33,4.24,4.24,56598750.00390625,28031.94898338375,1758492113373,Synapse54,1758492113373,Synapse54
134,62869 (Norris City),White County,Illinois,8626452dfffffff,7,3.59,3.59,56429999.99609375,27988.19279691602,1758492113373,Synapse54,1758492113373,Synapse54
135,62835 (Enfield),White County,Illinois,8626452e7ffffff,6,4.88,4.88,56333749.99609375,27966.596464839302,1758492113373,Synapse54,1758492113373,Synapse54
136,62821 (Carmi),White County,Illinois,8626452efffffff,131,4.54,4.54,56532500.0,28015.598433874227,1758492113373,Synapse54,1758492113373,Synapse54
137,62835 (Enfield),White County,Illinois,8626452f7ffffff,3,5.26,5.26,56502500.00390625,28010.35265130703,1758492113373,Synapse54,1758492113373,Synapse54
138,62843 (Golden Gate),Wayne County,Illinois,862645307ffffff,5,3.91,3.91,56605000.0,28037.989444861403,1758492113373,Synapse54,1758492113373,Synapse54
139,62833 (Ellery),Edwards County,Illinois,86264530fffffff,3,4.35,4.35,56603750.0078125,28037.981049730806,1758492113373,Synapse54,1758492113373,Synapse54
140,62821 (Carmi),White County,Illinois,86264524fffffff,5,4.1,4.1,56363750.00390625,27977.19726350761,1758492113373,Synapse54,1758492113373,Synapse54
141,62837 (Fairfield),Wayne County,Illinois,862645317ffffff,9,3.47,3.47,56701250.00390625,28059.585776938122,1758492113373,Synapse54,1758492113373,Synapse54
142,62305 (Quincy),Adams County,Illinois,862673b2fffffff,5,3.82,3.82,60337499.99609375,28938.041241530176,1758492113373,Synapse54,1758492113373,Synapse54
143,62843 (Golden Gate),Wayne County,Illinois,86264531fffffff,2,4.08,4.08,56701249.99609375,28059.585776938122,1758492113373,Synapse54,1758492113373,Synapse54
144,62833 (Ellery),Edwards County,Illinois,862645327ffffff,4,3.28,3.28,56803750.0,28088.96508693137,1758492113373,Synapse54,1758492113373,Synapse54
145,62806 (Albion),Edwards County,Illinois,86264532fffffff,5,3.7,3.7,56808750.0,28083.555516653818,1758492113373,Synapse54,1758492113373,Synapse54
146,62843 (Golden Gate),Wayne County,Illinois,862645337ffffff,1,2.78,2.78,56808750.0,28083.555516653818,1758492113373,Synapse54,1758492113373,Synapse54
147,62844 (Grayville),Edwards County,Illinois,862645347ffffff,9,4.41,4.41,56501250.0,28010.5754127726,1758492113373,Synapse54,1758492113373,Synapse54
148,62806 (Albion),Edwards County,Illinois,862645357ffffff,3,3.8,3.8,56622499.99609375,28041.808601790537,1758492113373,Synapse54,1758492113373,Synapse54
149,62827 (Crossville),White County,Illinois,86264535fffffff,2,4.08,4.08,56622500.0,28041.5718955743,1758492113373,Synapse54,1758492113373,Synapse54
150,62844 (Grayville),Edwards County,Illinois,862645367ffffff,8,4.3,4.3,56436250.0,27994.00210179751,1758492113373,Synapse54,1758492113373,Synapse54
151,62806 (Albion),Edwards County,Illinois,862645377ffffff,5,3.94,3.94,56622500.00390625,28041.808601790533,1758492113373,Synapse54,1758492113373,Synapse54
152,62837 (Fairfield),Wayne County,Illinois,862645387ffffff,15,3.69,3.69,56869999.99609375,28103.573120002016,1758492113373,Synapse54,1758492113373,Synapse54
153,62809 (Barnhill),Wayne County,Illinois,86264538fffffff,8,3.86,3.86,56701250.00390625,28059.585776938122,1758492113373,Synapse54,1758492113373,Synapse54
154,62837 (Fairfield),Wayne County,Illinois,862645397ffffff,5,3.62,3.62,56870000.00390625,28103.573120002016,1758492113373,Synapse54,1758492113373,Synapse54
155,62809 (Barnhill),Wayne County,Illinois,86264539fffffff,2,4.08,4.08,56870000.0,28103.573120002016,1758492113373,Synapse54,1758492113373,Synapse54
156,62837 (Fairfield),Wayne County,Illinois,8626453a7ffffff,75,3.99,3.99,56887500.00390625,28101.735799140017,1758492113373,Synapse54,1758492113373,Synapse54
157,62837 (Fairfield),Wayne County,Illinois,8626453afffffff,5,3.94,3.94,56869999.99609375,28103.573120002016,1758492113373,Synapse54,1758492113373,Synapse54
158,62837 (Fairfield),Wayne County,Illinois,8626453b7ffffff,108,3.88,3.88,56887499.99609375,28101.735799140017,1758492113373,Synapse54,1758492113373,Synapse54
159,62881 (Salem),Marion County,Illinois,862645407ffffff,207,4.41,4.41,57761250.0,28317.204351323715,1758492113373,Synapse54,1758492113373,Synapse54
160,62881 (Salem),Marion County,Illinois,86264540fffffff,25,4.97,4.97,57607500.0,28276.470898617048,1758492113373,Synapse54,1758492113373,Synapse54
161,62870 (Odin),Marion County,Illinois,862645417ffffff,39,4.21,4.21,57708750.0,28309.163063863412,1758492113373,Synapse54,1758492113373,Synapse54
162,62881 (Salem),Marion County,Illinois,86264541fffffff,30,4.01,4.01,57405000.0,28231.015249934626,1758492113373,Synapse54,1758492113373,Synapse54
163,62881 (Salem),Marion County,Illinois,862645427ffffff,66,4.46,4.46,57694999.99609375,28300.956062934554,1758492113373,Synapse54,1758492113373,Synapse54
164,62881 (Salem),Marion County,Illinois,86264542fffffff,30,4.15,4.15,57405000.00390625,28231.015249934626,1758492113373,Synapse54,1758492113373,Synapse54
165,62881 (Salem),Marion County,Illinois,862645437ffffff,11,5.24,5.24,57896250.00390625,28351.46702499466,1758492113373,Synapse54,1758492113373,Synapse54
166,62849 (Iuka),Marion County,Illinois,862645447ffffff,7,4.07,4.07,57405000.0,28231.015249934626,1758492113373,Synapse54,1758492113373,Synapse54
167,62889 (Texico),Jefferson County,Illinois,86264544fffffff,7,4.22,4.22,57306250.0,28209.168604183025,1758492113373,Synapse54,1758492113373,Synapse54
168,62853 (Kell),Marion County,Illinois,862645457ffffff,13,4.11,4.11,57405000.00390625,28231.015249934626,1758492113373,Synapse54,1758492113373,Synapse54
169,62889 (Texico),Jefferson County,Illinois,86264545fffffff,12,4.17,4.17,57405000.0,28231.015249934626,1758492113373,Synapse54,1758492113373,Synapse54
170,62849 (Iuka),Marion County,Illinois,862645467ffffff,5,4.0,4.0,57242500.0,28187.87316440581,1758492113373,Synapse54,1758492113373,Synapse54
171,62849 (Iuka),Marion County,Illinois,86264546fffffff,6,3.87,3.87,57408750.00390625,28236.805397737397,1758492113373,Synapse54,1758492113373,Synapse54
172,62881 (Salem),Marion County,Illinois,862645477ffffff,7,3.68,3.68,57437499.99609375,28232.593978663146,1758492113373,Synapse54,1758492113373,Synapse54
173,62801 (Centralia),Clinton County,Illinois,862645487ffffff,22,3.74,3.74,57745000.0,28314.060884076473,1758492113373,Synapse54,1758492113373,Synapse54
174,62801 (Centralia),Marion County,Illinois,86264548fffffff,455,4.39,4.39,57405000.0,28231.015249934626,1758492113373,Synapse54,1758492113373,Synapse54
175,62231 (Carlyle),Clinton County,Illinois,862645497ffffff,6,3.95,3.95,57405000.00390625,28231.015249934626,1758492113373,Synapse54,1758492113373,Synapse54
