OBJECTID,DESCRIPTION,ID,P0YTENHHD,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,"G0A (Sainte-Anne-De-Beaupre, QC)",G0A,42384,42384,72760823790.5,3028971.212854449,1753799626226,Synapse54,1753799626226,Synapse54
2,"G0C (New Richmond, QC)",G0C,22306,22306,22075337398.492188,967680.4043130332,1753799626226,Synapse54,1753799626226,Synapse54
3,"G0E (Grande-Vallee, QC)",G0E,2318,2318,17330251329.5,625766.1683453334,1753799626226,Synapse54,1753799626226,Synapse54
4,"G0G (Fermont, QC)",G0G,6635,6635,488246740388.7383,13452850.295035336,1753799626226,Synapse54,1753799626226,Synapse54
5,"G0H (Pessamit, QC)",G0H,4498,4498,123893631441.5,3217405.6747955983,1753799626226,Synapse54,1753799626226,Synapse54
6,"G0J (Causapscal, QC)",G0J,13438,13438,30795263589.0,1187342.219615261,1753799626226,Synapse54,1753799626226,Synapse54
7,"G0K (Sainte-Luce, QC)",G0K,5758,5758,8964482448.5,530269.0600895187,1753799626226,Synapse54,1753799626226,Synapse54
8,"G0L (Trois-Pistoles, QC)",G0L,27481,27481,23226305480.5,1017338.6635460304,1753799626226,Synapse54,1753799626226,Synapse54
9,"G0M (Saint-Prosper-De-Dorchester, QC)",G0M,15640,15640,6354665678.5,678703.1375911924,1753799626226,Synapse54,1753799626226,Synapse54
10,"G0N (Disraeli, QC)",G0N,9481,9481,3579667597.5,610336.508657239,1753799626226,Synapse54,1753799626226,Synapse54
11,"G0P (Ham-Nord, QC)",G0P,3094,3094,1964344449.0,415202.1877963802,1753799626226,Synapse54,1753799626226,Synapse54
12,"G0R (La Pocatiere, QC)",G0R,38674,38674,17275130739.5,769075.2097201231,1753799626226,Synapse54,1753799626226,Synapse54
13,"G0S (Saint-Apollinaire, QC)",G0S,34823,34823,7546000235.5,718279.0049398947,1753799626226,Synapse54,1753799626226,Synapse54
14,"G0T (Forestville, QC)",G0T,6034,6034,20313438075.0,1270528.890385615,1753799626226,Synapse54,1753799626226,Synapse54
15,"G0V (Saint-Honore-De-Chicoutimi, QC)",G0V,8635,8635,24624561090.5,1237538.7672922572,1753799626226,Synapse54,1753799626226,Synapse54
16,"G0W (Saint-Bruno-Lac-Saint-Jean, QC)",G0W,15500,15500,380327320475.0,4323366.579971259,1753799626226,Synapse54,1753799626226,Synapse54
17,"G0X (Notre-Dame-Du-Mont-Carmel, QC)",G0X,28475,28475,39978887685.5,2171889.905015521,1753799626226,Synapse54,1753799626226,Synapse54
18,"G0Y (Lac-Drolet, QC)",G0Y,4761,4761,3810924397.5,557635.8571484805,1753799626226,Synapse54,1753799626226,Synapse54
19,"G0Z (Daveluyville, QC)",G0Z,4232,4232,1313913827.0,254093.22841298912,1753799626226,Synapse54,1753799626226,Synapse54
20,"G1A (Quebec, QC)",G1A,0,0,82312.0,1266.954133788689,1753799626226,Synapse54,1753799626226,Synapse54
21,"G1B (Quebec, QC)",G1B,7502,7502,87273797.0,41431.67400838665,1753799626226,Synapse54,1753799626226,Synapse54
22,"G1C (Quebec, QC)",G1C,17226,17226,42832173.5,38990.399766328665,1753799626226,Synapse54,1753799626226,Synapse54
23,"G1E (Quebec, QC)",G1E,15107,15107,21963715.5,24460.60804483201,1753799626226,Synapse54,1753799626226,Synapse54
24,"G1G (Quebec, QC)",G1G,12079,12079,23261499.5,21244.010790424363,1753799626226,Synapse54,1753799626226,Synapse54
25,"G1H (Quebec, QC)",G1H,15860,15860,17070653.5,16728.070206687444,1753799626226,Synapse54,1753799626226,Synapse54
26,"G1J (Quebec, QC)",G1J,14012,14012,15486417.5,18318.282612942763,1753799626226,Synapse54,1753799626226,Synapse54
27,"G1K (Quebec, QC)",G1K,12048,12048,9532326.5,27604.32226056824,1753799626226,Synapse54,1753799626226,Synapse54
28,"G1L (Quebec, QC)",G1L,13654,13654,8545974.0,13500.51656374446,1753799626226,Synapse54,1753799626226,Synapse54
29,"G1M (Quebec, QC)",G1M,11314,11314,17720734.5,19033.029965482125,1753799626226,Synapse54,1753799626226,Synapse54
30,"G1N (Quebec, QC)",G1N,6065,6065,13120575.0,20830.816804197915,1753799626226,Synapse54,1753799626226,Synapse54
31,"G1P (Quebec, QC)",G1P,8465,8465,23560383.5,22665.24353657779,1753799626226,Synapse54,1753799626226,Synapse54
32,"G1R (Quebec, QC)",G1R,10609,10609,6291861.0,12661.880571938687,1753799626226,Synapse54,1753799626226,Synapse54
33,"G1S (Quebec, QC)",G1S,14894,14894,11216915.28125,15661.567182113036,1753799626226,Synapse54,1753799626226,Synapse54
34,"G1T (Quebec, QC)",G1T,3075,3075,7077771.5,17602.81541790566,1753799626226,Synapse54,1753799626226,Synapse54
35,"G1V (Quebec, QC)",G1V,13741,13741,15730102.0,17979.112647239195,1753799626226,Synapse54,1753799626226,Synapse54
36,"G1W (Quebec, QC)",G1W,11390,11390,17198639.5,21801.94208985731,1753799626226,Synapse54,1753799626226,Synapse54
37,"G1X (Quebec, QC)",G1X,14113,14113,27103326.0,27337.079999136095,1753799626226,Synapse54,1753799626226,Synapse54
38,"G1Y (Quebec, QC)",G1Y,6019,6019,14262450.5,17939.63034370007,1753799626226,Synapse54,1753799626226,Synapse54
39,"G2A (Quebec, QC)",G2A,8843,8843,47271562.5,46123.605864486206,1753799626226,Synapse54,1753799626226,Synapse54
40,"G2B (Quebec, QC)",G2B,11793,11793,24328924.5,22475.77399457994,1753799626226,Synapse54,1753799626226,Synapse54
41,"G2C (Quebec, QC)",G2C,6514,6514,18432837.5,23131.360190110616,1753799626226,Synapse54,1753799626226,Synapse54
42,"G2E (Quebec, QC)",G2E,9941,9941,27707972.5,23903.30796073271,1753799626226,Synapse54,1753799626226,Synapse54
43,"G2G (Quebec, QC)",G2G,5113,5113,101799470.5,45275.85044604026,1753799626226,Synapse54,1753799626226,Synapse54
44,"G2J (Quebec, QC)",G2J,1846,1846,5412144.5,9862.14108739791,1753799626226,Synapse54,1753799626226,Synapse54
45,"G2K (Quebec, QC)",G2K,7677,7677,30349819.5,31745.12588440936,1753799626226,Synapse54,1753799626226,Synapse54
46,"G2L (Quebec, QC)",G2L,7063,7063,25127554.5,22805.966601331882,1753799626226,Synapse54,1753799626226,Synapse54
47,"G2M (Quebec, QC)",G2M,2581,2581,44779584.0,34604.08492657024,1753799626226,Synapse54,1753799626226,Synapse54
48,"G2N (Quebec, QC)",G2N,3767,3767,31035228.5,31796.238354131285,1753799626226,Synapse54,1753799626226,Synapse54
49,"G3A (St-Augustin-De-Desmaures, QC)",G3A,9600,9600,188876871.0,74472.4753726992,1753799626226,Synapse54,1753799626226,Synapse54
50,"G3B (Lac-Beauport, QC)",G3B,4018,4018,139197319.5,64423.23371099803,1753799626226,Synapse54,1753799626226,Synapse54
51,"G3C (Stoneham-Et-Tewkesbury, QC)",G3C,5497,5497,1330849498.5,175874.56931808186,1753799626226,Synapse54,1753799626226,Synapse54
52,"G3E (Quebec, QC)",G3E,6520,6520,18489209.0,20620.301807363456,1753799626226,Synapse54,1753799626226,Synapse54
53,"G3G (Quebec, QC)",G3G,4473,4473,83002473.0,53192.861834286385,1753799626226,Synapse54,1753799626226,Synapse54
54,"G3H (Pont-Rouge, QC)",G3H,5131,5131,279179695.0,100842.62742278028,1753799626226,Synapse54,1753799626226,Synapse54
55,"G3J (Quebec, QC)",G3J,4878,4878,85589532.0,54640.87343863765,1753799626226,Synapse54,1753799626226,Synapse54
56,"G3K (Quebec, QC)",G3K,9055,9055,66926850.0,43417.9629367511,1753799626226,Synapse54,1753799626226,Synapse54
57,"G3L (Saint-Raymond, QC)",G3L,5851,5851,2499240685.5,293711.66523440205,1753799626226,Synapse54,1753799626226,Synapse54
58,"G3M (Donnacona, QC)",G3M,3877,3877,76895468.5,38932.06578942634,1753799626226,Synapse54,1753799626226,Synapse54
59,"G3N (Ste-Catherine-De-La-J-Cartier, QC)",G3N,5484,5484,179093818.5,91193.27748891739,1753799626226,Synapse54,1753799626226,Synapse54
60,"G3S (Quebec, QC)",G3S,3135,3135,162242772.5,88360.35793053103,1753799626226,Synapse54,1753799626226,Synapse54
61,"G3Z (Baie-Saint-Paul, QC)",G3Z,3705,3705,1221045873.0,165284.53951195258,1753799626226,Synapse54,1753799626226,Synapse54
62,"G4A (Clermont, QC)",G4A,1503,1503,1226794529.0,167560.43929327332,1753799626226,Synapse54,1753799626226,Synapse54
63,"G4R (Sept-Iles, QC)",G4R,8802,8802,1888740693.0195312,364416.3918226564,1753799626226,Synapse54,1753799626226,Synapse54
64,"G4S (Sept-Iles, QC)",G4S,2049,2049,13736729.5,31952.335224803264,1753799626226,Synapse54,1753799626226,Synapse54
65,"G4T (Les Iles-De-La-Madeleine, QC)",G4T,6354,6354,500054815.0,511013.5871236407,1753799626226,Synapse54,1753799626226,Synapse54
66,"G4V (Sainte-Anne-Des-Monts, QC)",G4V,3056,3056,780273522.0,168670.12216022852,1753799626226,Synapse54,1753799626226,Synapse54
67,"G4W (Matane, QC)",G4W,7188,7188,466220652.0,100520.51806568402,1753799626226,Synapse54,1753799626226,Synapse54
68,"G4X (Gaspe, QC)",G4X,7144,7144,2615126201.546875,406673.89112098655,1753799626226,Synapse54,1753799626226,Synapse54
69,"G4Z (Baie-Comeau, QC)",G4Z,4058,4058,1669244051.0,336717.80497552885,1753799626226,Synapse54,1753799626226,Synapse54
70,"G5A (La Malbaie, QC)",G5A,3921,3921,905867526.5,176911.55690727945,1753799626226,Synapse54,1753799626226,Synapse54
71,"G5B (Port-Cartier, QC)",G5B,2635,2635,742256392.5,203831.72178845698,1753799626226,Synapse54,1753799626226,Synapse54
72,"G5C (Baie-Comeau, QC)",G5C,4873,4873,78061848.0,48691.63220890317,1753799626226,Synapse54,1753799626226,Synapse54
73,"G5H (Mont-Joli, QC)",G5H,3295,3295,128376656.5,53923.191144203476,1753799626226,Synapse54,1753799626226,Synapse54
74,"G5J (Amqui, QC)",G5J,2900,2900,310530648.5,97437.56642828621,1753799626226,Synapse54,1753799626226,Synapse54
75,"G5L (Rimouski, QC)",G5L,15298,15298,115966883.0,88926.49071239203,1753799626226,Synapse54,1753799626226,Synapse54
76,"G5M (Rimouski, QC)",G5M,4157,4157,66332097.0,52169.63739391678,1753799626226,Synapse54,1753799626226,Synapse54
77,"G5N (Rimouski, QC)",G5N,3772,3772,414167429.0,104413.83144964176,1753799626226,Synapse54,1753799626226,Synapse54
78,"G5R (Riviere-Du-Loup, QC)",G5R,10138,10138,182737573.0,77061.18159356514,1753799626226,Synapse54,1753799626226,Synapse54
79,"G5T (Degelis, QC)",G5T,1368,1368,1107888892.0,146757.59518407704,1753799626226,Synapse54,1753799626226,Synapse54
80,"G5V (Montmagny, QC)",G5V,5570,5570,282245095.0,82682.88684580137,1753799626226,Synapse54,1753799626226,Synapse54
81,"G5X (Beauceville, QC)",G5X,2797,2797,336857190.0,91090.00846556539,1753799626226,Synapse54,1753799626226,Synapse54
82,"G5Y (Saint-Georges, QC)",G5Y,12251,12251,169548327.0,148240.89990521545,1753799626226,Synapse54,1753799626226,Synapse54
83,"G5Z (Saint-Georges, QC)",G5Z,3420,3420,219710089.0,133870.3845435117,1753799626226,Synapse54,1753799626226,Synapse54
84,"G6A (Saint-Georges, QC)",G6A,894,894,12731588.0,28099.846637013223,1753799626226,Synapse54,1753799626226,Synapse54
85,"G6B (Lac-Megantic, QC)",G6B,4172,4172,525968305.0,147830.6226949515,1753799626226,Synapse54,1753799626226,Synapse54
86,"G6C (Pintendre, QC)",G6C,3952,3952,171728656.5,62758.50767570228,1753799626226,Synapse54,1753799626226,Synapse54
87,"G6E (Sainte-Marie, QC)",G6E,5975,5975,242749292.5,88129.38426536831,1753799626226,Synapse54,1753799626226,Synapse54
88,"G6G (Thetford Mines, QC)",G6G,10122,10122,432553661.5,137866.85051543516,1753799626226,Synapse54,1753799626226,Synapse54
89,"G6H (Thetford Mines, QC)",G6H,3204,3204,381525955.5,208711.52055490302,1753799626226,Synapse54,1753799626226,Synapse54
90,"G6J (Saint-Etienne-De-Lauzon, QC)",G6J,5034,5034,170941088.5,68005.84099520143,1753799626226,Synapse54,1753799626226,Synapse54
91,"G6K (Saint-Redempteur, QC)",G6K,3500,3500,8847420.0,13869.752401834681,1753799626226,Synapse54,1753799626226,Synapse54
92,"G6L (Plessisville, QC)",G6L,7576,7576,727703425.5,150480.86599396955,1753799626226,Synapse54,1753799626226,Synapse54
93,"G6P (Victoriaville, QC)",G6P,15769,15769,43162857.0,67077.33804588739,1753799626226,Synapse54,1753799626226,Synapse54
